iter	Passed	Remaining
534	23394	20333
535	23436	20288
536	23478	20243
537	23522	20199
538	23564	20154
539	23606	20109
540	23648	20064
541	23696	20023
542	23736	19976
543	23778	19932
544	23820	19886
545	23862	19841
546	23905	19797
547	23947	19752
548	23988	19706
549	24030	19661
550	24073	19617
551	24114	19571
552	24156	19526
553	24198	19481
554	24241	19436
555	24282	19391
556	24324	19345
557	24366	19300
558	24407	19255
559	24451	19211
560	24492	19166
561	24534	19121
562	24575	19075
563	24617	19030
564	24660	18986
565	24702	18941
566	24745	18897
567	24784	18849
568	24827	18806
569	24869	18761
570	24913	18717
571	24956	18673
572	24997	18628
573	25040	18584
574	25091	18546
575	25132	18500
576	25173	18455
577	25215	18410
578	25256	18364
579	25298	18319
580	25340	18274
581	25382	18229
582	25425	18185
583	25468	18141
584	25510	18096
585	25552	18052
586	25594	18007
587	25637	17963
588	25681	17920
589	25729	17879
590	25771	17835
591	25817	17793
592	25861	17750
593	25908	17708
594	25946	17661
595	25987	17615
596	26031	17572
597	26074	17528
598	26118	17484
599	26161	17441
600	26204	17397
601	26247	17352
602	26292	17310
603	26340	17269
604	26382	17225
605	26428	17183
606	26472	17139
607	26518	17097
608	26559	17052
609	26603	17008
610	26649	16966
611	26693	16923
612	26736	16879
613	26778	16834
614	26821	16790
615	26866	16747
616	26908	16703
617	26952	16659
618	26999	16618
619	27044	16575
620	27086	16531
621	27130	16487
622	27174	16444
623	27216	16399
624	27270	16362
625	27314	16318
626	27357	16274
627	27399	16230
628	27442	16186
629	27484	16141
630	27527	16097
631	27569	16053
632	27611	16008
633	27656	15965
634	27698	15921
635	27741	15876
636	27783	15832
637	27825	15787
638	27869	15744
639	27916	15702
640	27957	15658
641	28001	15614
642	28046	15571
643	28088	15527
644	28131	15483
645	28172	15438
646	28214	15393
647	28256	15348
648	28299	15305
649	28340	15260
650	28384	15216
651	28425	15171
652	28468	15127
653	28511	15083
654	28599	15063
655	28659	15028
656	28700	14983
657	28742	14939
658	28783	14894
659	28832	14852
660	28872	14807
661	28919	14765
662	28961	14721
663	29006	14677
664	29047	14633
665	29092	14589
666	29134	14545
667	29176	14500
668	29220	14457
669	29262	14412
670	29308	14370
671	29350	14325
672	29395	14283
673	29441	14240
674	29485	14196
675	29527	14152
676	29568	14107
677	29609	14062
678	29654	14019
679	29695	13974
680	29738	13930
681	29777	13884
682	29821	13840
683	29864	13797
684	29909	13753
685	29950	13708
686	29993	13665
687	30037	13621
688	30079	13577
689	30122	13533
690	30165	13489
691	30207	13444
692	30250	13401
693	30292	13356
694	30332	13311
695	30378	13268
696	30419	13223
697	30461	13179
698	30505	13135
699	30545	13091
700	30590	13047
701	30636	13005
702	30679	12961
703	30720	12916
704	30763	12872
705	30806	12828
706	30852	12785
707	30896	12742
708	30947	12701
709	30992	12658
710	31035	12614
